LOG_SUCCESS       | info    | The initialization finished successfully without homotopy method.
assert            | info    | The following assertion has been violated at time 1740.010000
assert            | info    | The following assertion has been violated at time 1740.010000
assert            | info    | The following assertion has been violated at time 1740.010000
assert            | info    | The following assertion has been violated at time 1740.010000
assert            | info    | The following assertion has been violated at time 1740.010000
assert            | info    | The following assertion has been violated at time 1740.010000
assert            | info    | The following assertion has been violated at time 1740.010000
assert            | info    | The following assertion has been violated at time 1740.010000
assert            | info    | The following assertion has been violated at time 1740.010000
assert            | info    | The following assertion has been violated at time 1740.010000
assert            | info    | The following assertion has been violated at time 1740.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1800.010000
assert            | info    | The following assertion has been violated at time 1800.010000
assert            | info    | The following assertion has been violated at time 1800.010000
assert            | info    | The following assertion has been violated at time 1800.010000
assert            | info    | The following assertion has been violated at time 1800.010000
assert            | info    | The following assertion has been violated at time 1800.010000
assert            | info    | The following assertion has been violated at time 1800.010000
assert            | info    | The following assertion has been violated at time 1800.010000
assert            | info    | The following assertion has been violated at time 1800.010000
assert            | info    | The following assertion has been violated at time 1800.010000
assert            | info    | The following assertion has been violated at time 1800.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1860.010000
assert            | info    | The following assertion has been violated at time 1860.010000
assert            | info    | The following assertion has been violated at time 1860.010000
assert            | info    | The following assertion has been violated at time 1860.010000
assert            | info    | The following assertion has been violated at time 1860.010000
assert            | info    | The following assertion has been violated at time 1860.010000
assert            | info    | The following assertion has been violated at time 1860.010000
assert            | info    | The following assertion has been violated at time 1860.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1920.010000
assert            | info    | The following assertion has been violated at time 1920.010000
assert            | info    | The following assertion has been violated at time 1920.010000
assert            | info    | The following assertion has been violated at time 1920.010000
assert            | info    | The following assertion has been violated at time 1920.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1980.010000
assert            | info    | The following assertion has been violated at time 1980.010000
assert            | info    | The following assertion has been violated at time 1980.010000
assert            | info    | The following assertion has been violated at time 1980.010000
assert            | info    | The following assertion has been violated at time 1980.010000
assert            | info    | The following assertion has been violated at time 1980.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 2040.010000
assert            | info    | The following assertion has been violated at time 2040.010000
assert            | info    | The following assertion has been violated at time 2040.010000
assert            | info    | The following assertion has been violated at time 2040.010000
assert            | info    | The following assertion has been violated at time 2040.010000
assert            | info    | The following assertion has been violated at time 2040.010000
assert            | info    | The following assertion has been violated at time 2040.010000
assert            | info    | The following assertion has been violated at time 2040.010000
assert            | info    | The following assertion has been violated at time 2040.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 2100.010000
assert            | info    | The following assertion has been violated at time 2100.010000
assert            | info    | The following assertion has been violated at time 2100.010000
assert            | info    | The following assertion has been violated at time 2100.010000
assert            | info    | The following assertion has been violated at time 2100.010000
assert            | info    | The following assertion has been violated at time 2100.010000
assert            | info    | The following assertion has been violated at time 2100.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 2160.010000
assert            | info    | The following assertion has been violated at time 2160.010000
assert            | info    | The following assertion has been violated at time 2160.010000
assert            | info    | The following assertion has been violated at time 2160.010000
assert            | info    | The following assertion has been violated at time 2160.010000
assert            | info    | The following assertion has been violated at time 2160.010000
assert            | info    | The following assertion has been violated at time 2160.010000
assert            | info    | The following assertion has been violated at time 2160.010000
assert            | info    | The following assertion has been violated at time 2160.010000
assert            | info    | The following assertion has been violated at time 2160.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 2220.010000
assert            | info    | The following assertion has been violated at time 2220.010000
assert            | info    | The following assertion has been violated at time 2220.010000
assert            | info    | The following assertion has been violated at time 2220.010000
assert            | info    | The following assertion has been violated at time 2220.010000
assert            | info    | The following assertion has been violated at time 2220.010000
assert            | info    | The following assertion has been violated at time 2220.010000
assert            | info    | The following assertion has been violated at time 2220.010000
assert            | info    | The following assertion has been violated at time 2220.010000
assert            | info    | The following assertion has been violated at time 2220.010000
assert            | info    | The following assertion has been violated at time 2220.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 2280.010000
assert            | info    | The following assertion has been violated at time 2280.010000
assert            | info    | The following assertion has been violated at time 2280.010000
assert            | info    | The following assertion has been violated at time 2280.010000
assert            | info    | The following assertion has been violated at time 2280.010000
assert            | info    | The following assertion has been violated at time 2280.010000
assert            | info    | The following assertion has been violated at time 2280.010000
assert            | info    | The following assertion has been violated at time 2280.010000
assert            | info    | The following assertion has been violated at time 2280.010000
assert            | info    | The following assertion has been violated at time 2280.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 2340.010000
assert            | info    | The following assertion has been violated at time 2340.010000
assert            | info    | The following assertion has been violated at time 2340.010000
assert            | info    | The following assertion has been violated at time 2340.010000
assert            | info    | The following assertion has been violated at time 2340.010000
assert            | info    | The following assertion has been violated at time 2340.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 2400.010000
assert            | info    | The following assertion has been violated at time 2400.010000
assert            | info    | The following assertion has been violated at time 2400.010000
assert            | info    | The following assertion has been violated at time 2400.010000
assert            | info    | The following assertion has been violated at time 2400.010000
assert            | info    | The following assertion has been violated at time 2400.010000
assert            | info    | The following assertion has been violated at time 2400.010000
assert            | info    | The following assertion has been violated at time 2400.010000
assert            | info    | The following assertion has been violated at time 2400.010000
assert            | info    | The following assertion has been violated at time 2400.010000
assert            | info    | The following assertion has been violated at time 2400.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 2460.010000
assert            | info    | The following assertion has been violated at time 2460.010000
assert            | info    | The following assertion has been violated at time 2460.010000
assert            | info    | The following assertion has been violated at time 2460.010000
assert            | info    | The following assertion has been violated at time 2460.010000
assert            | info    | The following assertion has been violated at time 2460.010000
assert            | info    | The following assertion has been violated at time 2460.010000
assert            | info    | The following assertion has been violated at time 2460.010000
assert            | info    | The following assertion has been violated at time 2460.010000
assert            | info    | The following assertion has been violated at time 2460.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 2520.010000
assert            | info    | The following assertion has been violated at time 2520.010000
assert            | info    | The following assertion has been violated at time 2520.010000
assert            | info    | The following assertion has been violated at time 2520.010000
assert            | info    | The following assertion has been violated at time 2520.010000
assert            | info    | The following assertion has been violated at time 2520.010000
assert            | info    | The following assertion has been violated at time 2520.010000
assert            | info    | The following assertion has been violated at time 2520.010000
assert            | info    | The following assertion has been violated at time 2520.010000
assert            | info    | The following assertion has been violated at time 2520.010000
assert            | info    | The following assertion has been violated at time 2520.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 2580.010000
assert            | info    | The following assertion has been violated at time 2580.010000
assert            | info    | The following assertion has been violated at time 2580.010000
assert            | info    | The following assertion has been violated at time 2580.010000
assert            | info    | The following assertion has been violated at time 2580.010000
assert            | info    | The following assertion has been violated at time 2580.010000
assert            | info    | The following assertion has been violated at time 2580.010000
assert            | info    | The following assertion has been violated at time 2580.010000
assert            | info    | The following assertion has been violated at time 2580.010000
assert            | info    | The following assertion has been violated at time 2580.010000
assert            | info    | The following assertion has been violated at time 2580.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 2640.010000
assert            | info    | The following assertion has been violated at time 2640.010000
assert            | info    | The following assertion has been violated at time 2640.010000
assert            | info    | The following assertion has been violated at time 2640.010000
assert            | info    | The following assertion has been violated at time 2640.010000
assert            | info    | The following assertion has been violated at time 2640.010000
assert            | info    | The following assertion has been violated at time 2640.010000
assert            | info    | The following assertion has been violated at time 2640.010000
assert            | info    | The following assertion has been violated at time 2640.010000
assert            | info    | The following assertion has been violated at time 2640.010000
assert            | info    | The following assertion has been violated at time 2640.010000
assert            | info    | The following assertion has been violated at time 2640.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 2700.010000
assert            | info    | The following assertion has been violated at time 2700.010000
assert            | info    | The following assertion has been violated at time 2700.010000
assert            | info    | The following assertion has been violated at time 2700.010000
assert            | info    | The following assertion has been violated at time 2700.010000
assert            | info    | The following assertion has been violated at time 2700.010000
assert            | info    | The following assertion has been violated at time 2700.010000
assert            | info    | The following assertion has been violated at time 2700.010000
assert            | info    | The following assertion has been violated at time 2700.010000
assert            | info    | The following assertion has been violated at time 2700.010000
assert            | info    | The following assertion has been violated at time 2700.010000
assert            | info    | The following assertion has been violated at time 2700.010000
assert            | info    | The following assertion has been violated at time 2700.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 2760.010000
assert            | info    | The following assertion has been violated at time 2760.010000
assert            | info    | The following assertion has been violated at time 2760.010000
assert            | info    | The following assertion has been violated at time 2760.010000
assert            | info    | The following assertion has been violated at time 2760.010000
assert            | info    | The following assertion has been violated at time 2760.010000
assert            | info    | The following assertion has been violated at time 2760.010000
assert            | info    | The following assertion has been violated at time 2760.010000
assert            | info    | The following assertion has been violated at time 2760.010000
assert            | info    | The following assertion has been violated at time 2760.010000
assert            | info    | The following assertion has been violated at time 2760.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 2820.010000
assert            | info    | The following assertion has been violated at time 2820.010000
assert            | info    | The following assertion has been violated at time 2820.010000
assert            | info    | The following assertion has been violated at time 2820.010000
assert            | info    | The following assertion has been violated at time 2820.010000
assert            | info    | The following assertion has been violated at time 2820.010000
assert            | info    | The following assertion has been violated at time 2820.010000
assert            | info    | The following assertion has been violated at time 2820.010000
assert            | info    | The following assertion has been violated at time 2820.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 2880.010000
assert            | info    | The following assertion has been violated at time 2880.010000
assert            | info    | The following assertion has been violated at time 2880.010000
assert            | info    | The following assertion has been violated at time 2880.010000
assert            | info    | The following assertion has been violated at time 2880.010000
assert            | info    | The following assertion has been violated at time 2880.010000
